quarantine_length,testing,quantile,d_tot,d_tot_adj,perc_risk_reduced
0,None,q0.01,2.13430755057701,1.54493905477994,0
0,None,q0.5,2.43517547554557,1.73786789049384,0
0,None,q0.99,2.76237785360647,1.94881724308806,0
2,None,q0.01,1.45521598324832,1.05312897842372,0.249166913262664
2,None,q0.5,1.74243746561549,1.23183429595788,0.289376172233877
2,None,q0.99,2.05256118488666,1.42637712377239,0.334374286227215
5,None,q0.01,0.76351186184796,0.544487736059945,0.549129774238002
5,None,q0.5,0.967357105583044,0.673345741639031,0.610836011568634
5,None,q0.99,1.23833011103093,0.852538580490279,0.66493385035627
7,None,q0.01,0.562852426189389,0.406748870665733,0.665045106653952
7,None,q0.5,0.704497383950413,0.492942168417387,0.716205380722288
7,None,q0.99,0.91508588391157,0.635633529099213,0.750422827728949
14,None,q0.01,0.430040840138269,0.312099257518635,0.786273449834511
14,None,q0.5,0.496215887514874,0.352917911763476,0.797154069109544
14,None,q0.99,0.577286465740408,0.404645021832616,0.79964354372925
2,At end,q0.01,1.21719590334108,0.883109787307139,0.350271382201692
2,At end,q0.5,1.45374275555304,1.03381375668391,0.403653618650835
2,At end,q0.99,1.72586625099767,1.2092309988427,0.464193070591222
5,At end,q0.01,0.618756236201509,0.442171862362048,0.621442951379966
5,At end,q0.5,0.78474050390293,0.546803258407458,0.683616001338687
5,At end,q0.99,1.02361919973498,0.706620474106823,0.732472832887614
7,At end,q0.01,0.498158498344745,0.360308026106231,0.707802589473592
7,At end,q0.5,0.608348607233087,0.427418772972168,0.754128654256699
7,At end,q0.99,0.783132965443646,0.542614424064468,0.77885233521958
14,At end,q0.01,0.428449963286765,0.31074234863669,0.790010259769295
14,At end,q0.5,0.492188553794991,0.35064095505803,0.79860691207132
14,At end,q0.99,0.566029045786277,0.397851220893846,0.799885524961638
0,On arrival unenforced,q0.01,1.62310489611735,1.19339138920973,0.188726096912636
0,On arrival unenforced,q0.5,1.8581379879006,1.33983521763966,0.227582256591768
0,On arrival unenforced,q0.99,2.12077790484542,1.5078814937927,0.272169850976172
2,On arrival unenforced,q0.01,1.21128217450457,0.87343278633567,0.351685823332062
2,On arrival unenforced,q0.5,1.44513554134861,1.03287554810874,0.404490599987959
2,On arrival unenforced,q0.99,1.71485201437711,1.2153840307436,0.466619747337361
5,On arrival unenforced,q0.01,0.623308030500039,0.437636176203344,0.606760883050898
5,On arrival unenforced,q0.5,0.810430669411633,0.561237703840119,0.674142806053355
5,On arrival unenforced,q0.99,1.0707212889916,0.734681007298779,0.739658033421816
7,On arrival unenforced,q0.01,0.435642794492661,0.308764992994783,0.717227561785382
7,On arrival unenforced,q0.5,0.56819907807066,0.39289555664482,0.772234333243071
7,On arrival unenforced,q0.99,0.777003086664614,0.531165263208695,0.817065986351721
14,On arrival unenforced,q0.01,0.301190569232665,0.211878810211772,0.841971250218633
14,On arrival unenforced,q0.5,0.353231752679624,0.246068720539205,0.858073550618917
14,On arrival unenforced,q0.99,0.425711244355343,0.292789493703823,0.872108904397391
0,On arrival enforced,q0.01,1.58121571408898,1.16825406256931,0.203632178715786
0,On arrival enforced,q0.5,1.80875323631211,1.3093956646046,0.245176852357411
0,On arrival enforced,q0.99,2.06069510711692,1.47557932177576,0.29367934319729
2,On arrival enforced,q0.01,1.19125003733856,0.863191542985498,0.357663267816073
2,On arrival enforced,q0.5,1.42262754977048,1.02077479642883,0.411560543748893
2,On arrival enforced,q0.99,1.69034077189587,1.20124942209927,0.47542885891224
5,On arrival enforced,q0.01,0.610740274586129,0.430014263699217,0.610330012748372
5,On arrival enforced,q0.5,0.798322578149234,0.554206960811627,0.678085281327696
5,On arrival enforced,q0.99,1.0578181723863,0.72818317155876,0.744695437959341
7,On arrival enforced,q0.01,0.426450298582908,0.302685727505957,0.720394818569318
7,On arrival enforced,q0.5,0.55713424974347,0.386869363166354,0.775781628887805
7,On arrival enforced,q0.99,0.765391822917621,0.5236978095032,0.821844669343754
14,On arrival enforced,q0.01,0.291483374674539,0.205763610483999,0.845247231323415
14,On arrival enforced,q0.5,0.34332593358266,0.239882572709524,0.861587462425495
14,On arrival enforced,q0.99,0.414680898650415,0.287174238698986,0.87617153593315
0,3 days prior,q0.01,2.09354363187483,1.51746330042787,0.00902712238896272
0,3 days prior,q0.5,2.36725415172517,1.69618810952357,0.0219586445043652
0,3 days prior,q0.99,2.64383047348723,1.88990141790904,0.0377116677495854
2,3 days prior,q0.01,1.46075604048236,1.04822174443267,0.256322174630542
2,3 days prior,q0.5,1.72804218699053,1.22096190066818,0.295689016683244
2,3 days prior,q0.99,2.02703129066672,1.41241726508656,0.34397324157495
5,3 days prior,q0.01,0.782881451390416,0.547167522746404,0.549910396246686
5,3 days prior,q0.5,0.977762912705738,0.674595057922595,0.610377417325327
5,3 days prior,q0.99,1.24563526679761,0.851084383448913,0.663767067013711
7,3 days prior,q0.01,0.58313848035484,0.410261739612447,0.665078239812391
7,3 days prior,q0.5,0.717688327377283,0.493861052271065,0.715147874138526
7,3 days prior,q0.99,0.923461960488331,0.634400849408985,0.748504658052594
14,3 days prior,q0.01,0.451815929716355,0.316899403153426,0.785171149727487
14,3 days prior,q0.5,0.508612040852574,0.353963548357875,0.796362936734631
14,3 days prior,q0.99,0.580634114719154,0.402053086455314,0.802099492827068
